slurmstepd: error: *** JOB 5145 ON gpunode2 CANCELLED AT 2021-10-26T08:50:22 ***
slurmstepd: error: *** STEP 5145.0 ON gpunode2 CANCELLED AT 2021-10-26T08:50:22 ***
original_recur.py:67: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  labels_ = np.array(y,dtype=np.int)
Epoch 137: loss=0.35561
Epoch 138: loss=0.35011
Epoch 139: loss=0.35122
Epoch 140: loss=0.35460
Epoch 141: loss=0.34010
Epoch 142: loss=0.34456
Epoch 143: loss=0.33943
Epoch 144: loss=0.33162
Epoch 145: loss=0.33465
Epoch 146: loss=0.33116
Epoch 147: loss=0.32217
Epoch 148: loss=0.32386
Epoch 149: loss=0.32437
Epoch 150: loss=0.32095
Epoch 151: loss=0.32143
Epoch 152: loss=0.32536
Epoch 153: loss=0.31764
Epoch 154: loss=0.31123
Epoch 155: loss=0.30275
Epoch 156: loss=0.30527
Epoch 157: loss=0.30187
Epoch 158: loss=0.30281
Epoch 159: loss=0.29602
Epoch 160: loss=0.29292
Epoch 161: loss=0.29141
Epoch 162: loss=0.30021
Epoch 163: loss=0.29001
Epoch 164: loss=0.28521
Epoch 165: loss=0.28340
Epoch 166: loss=0.28463
Epoch 167: loss=0.27480
Epoch 168: loss=0.27062
Epoch 169: loss=0.27787
Epoch 170: loss=0.26958
Epoch 171: loss=0.27042
Epoch 172: loss=0.26889
Epoch 173: loss=0.26946
Epoch 174: loss=0.26888
Epoch 175: loss=0.26370
Epoch 176: loss=0.26295
Epoch 177: loss=0.25761
Epoch 178: loss=0.25182
Epoch 179: loss=0.25445
Epoch 180: loss=0.25774
Epoch 181: loss=0.25016
Epoch 182: loss=0.25021
Epoch 183: loss=0.24391
Epoch 184: loss=0.24099
Epoch 185: loss=0.23784
Epoch 186: loss=0.24246
Epoch 187: loss=0.24039
Epoch 188: loss=0.23713
Epoch 189: loss=0.23279
Epoch 190: loss=0.23021
Epoch 191: loss=0.22608
Epoch 192: loss=0.22840
Epoch 193: loss=0.22442
Epoch 194: loss=0.22806
Epoch 195: loss=0.22731
Epoch 196: loss=0.22434
Epoch 197: loss=0.22028
Epoch 198: loss=0.21962
Epoch 199: loss=0.22168
Epoch 200: loss=0.22221
Training accuracy: 0.978
Test accuracy: 0.666
Traceback (most recent call last):
  File "original_recur.py", line 253, in <module>
    pickle.dump(loss_list,open_file)
NameError: name 'pickle' is not defined
srun: error: gpunode2: task 0: Exited with exit code 1
